Order Date,Customer ID,Region,Channel,Units Sold,Revenue,Discount %,Profit
2024-09-04,1077,East,Retail,20,1113.97,21.5,$251
2024-09-05,1077,South,Partner,18,1075.23,7.4,$214
2024-09-06,1080,South,Retail,24,1176.7,20.7,$300
2024-09-07,1081,West,Retail,25,1163.04,4.4,$212
2024-09-08,1088,North,Online,19,1070.22,3.5,$291
2024-09-09,1021,East,Partner,31,1209.11,14.6,$268
2024-09-10,1003,South,Retail,20,1142.49,3.5,$189
2024-09-11,1064,North,Online,21,1174.6,24.2,$183
2024-09-12,1034,East,Retail,35,1157.18,11.4,$296
2024-09-13,1057,East,Retail,31,1185.92,20.2,$297
2024-09-14,1041,West,Online,28,1123.03,6.4,$265
2024-09-15,1035,East,Online,19,1055.34,21.6,$258
2024-09-16,1006,South,Online,18,1082.31,5.4,$234
2024-09-17,1031,West,Partner,20,1119.91,24.6,$177
2024-09-18,1002,North,Partner,22,1238.79,2.2,$262
2024-09-19,1088,North,Partner,22,1291.31,9.0,$317
2024-09-20,1017,East,Online,17,1056.84,1.6,$211
2024-09-21,1062,South,Partner,20,1234.9,10.7,$297
2024-09-22,1005,South,Partner,21,1230.68,4.7,$224
2024-09-23,1070,West,Retail,21,1452.2,10.4,$278
2024-09-24,1065,South,Retail,28,1158.39,21.6,$282
2024-09-25,1073,West,Online,26,1374.36,12.7,$258
2024-09-26,1047,East,Partner,21,1231.9,18.2,$307
2024-09-27,1044,South,Online,14,1300.7,0.1,$348
2024-09-28,1019,North,Partner,23,1287.53,2.9,$266
2024-09-29,1083,North,Online,19,1395.03,18.0,$332
2024-09-30,1015,West,Partner,14,1338.37,11.1,$256
2024-10-01,1035,South,Partner,16,1407.7,20.0,$300
2024-10-02,1055,North,Partner,30,1283.52,23.3,$253
2024-10-03,1071,North,Online,26,1258.38,18.8,$276
2024-10-04,1016,West,Online,15,1243.98,22.0,$346
2024-10-05,1021,North,Partner,23,1165.28,11.3,$323
2024-10-06,1062,East,Online,30,1472.83,14.6,$302
2024-10-07,1026,North,Partner,19,1328.14,3.8,$319
2024-10-08,1039,West,Partner,15,1533.4,22.3,$394
2024-10-09,1077,South,Online,18,1199.31,16.5,$253
2024-10-10,1071,North,Online,26,1233.11,1.1,$332
2024-10-11,1015,West,Retail,23,1246.16,12.6,$241
2024-10-12,1033,South,Partner,25,1163.66,19.5,$214
2024-10-13,1037,East,Partner,14,1324.12,5.8,$275
2024-10-14,1000,South,Online,17,1195.32,18.3,$292
2024-10-15,1066,North,Retail,19,1237.57,12.8,$333
2024-10-16,1056,North,Online,22,1281.71,20.1,$272
2024-10-17,1050,North,Partner,17,1232.21,1.5,$276
2024-10-18,1003,North,Retail,26,1204.86,2.1,$240
2024-10-19,1039,North,Partner,19,1143.82,6.5,$198
2024-10-20,1024,North,Online,20,1080.12,7.5,$174
2024-10-21,1017,West,Online,26,1145.0,6.5,$283
2024-10-22,1085,North,Partner,21,1220.19,11.5,$206
2024-10-23,1042,South,Online,17,1125.96,23.6,$284
2024-10-24,1083,North,Retail,24,1011.97,5.8,$278
2024-10-25,1052,North,Online,20,1152.2,4.8,$257
2024-10-26,1006,East,Retail,26,1258.75,11.7,$280
2024-10-27,1029,West,Online,26,1083.44,12.6,$258
2024-10-28,1014,South,Partner,17,1196.53,6.4,$281
2024-10-29,1013,North,Online,32,1184.0,12.2,$246
2024-10-30,1062,West,Retail,14,1219.79,6.8,$328
2024-10-31,1010,North,Retail,30,1201.45,14.2,$231
2024-11-01,1057,South,Partner,23,1121.67,2.7,$288
2024-11-02,1015,South,Partner,17,1167.82,14.3,$263
2024-11-03,1028,West,Partner,27,1154.89,20.2,$323
2024-11-04,1014,West,Online,24,1140.49,11.8,$259
2024-11-05,1002,East,Retail,24,1302.07,19.1,$304
2024-11-06,1042,South,Retail,24,1276.3,9.9,$299
2024-11-07,1023,West,Online,26,1398.2,5.2,$323
2024-11-08,1080,West,Partner,24,1252.08,18.3,$215
2024-11-09,1036,West,Partner,19,1199.64,2.6,$284
2024-11-10,1000,East,Retail,18,1374.61,2.8,$304
2024-11-11,1058,North,Partner,12,1515.49,12.3,$375
2024-11-12,1061,North,Partner,20,1476.68,6.9,$413
2024-11-13,1000,South,Retail,27,1472.9,2.4,$380
2024-11-14,1043,South,Partner,25,1302.22,23.7,$364
2024-11-15,1021,West,Partner,26,1346.72,14.7,$327
2024-11-16,1077,North,Retail,25,1644.42,4.3,$263
2024-11-17,1002,East,Retail,25,1355.87,12.5,$306
2024-11-18,1087,South,Partner,17,1393.41,20.7,$327
2024-11-19,1065,East,Partner,19,1395.05,8.3,$345
2024-11-20,1051,North,Partner,17,1411.25,5.7,$332
2024-11-21,1050,South,Partner,18,1462.24,13.3,$373
2024-11-22,1086,North,Partner,19,1441.55,4.2,$318
2024-11-23,1037,North,Online,23,1383.88,7.4,$267
2024-11-24,1029,West,Online,23,1424.93,16.2,$264
2024-11-25,1033,South,Online,18,1279.04,21.7,$218
2024-11-26,1046,West,Partner,11,1277.79,12.3,$345
2024-11-27,1022,South,Online,19,1295.03,24.5,$339
2024-11-28,1081,North,Partner,28,1123.13,16.6,$306
2024-11-29,1004,East,Retail,27,1426.77,18.8,$308
2024-11-30,1046,North,Online,33,1196.9,8.5,$234
2024-12-01,1075,West,Retail,23,1283.36,18.1,$233
2024-12-02,1007,North,Online,26,1168.36,10.3,$267
2024-12-03,1055,East,Online,27,1122.05,5.0,$284
2024-12-04,1001,North,Partner,15,1143.04,1.5,$218
2024-12-05,1001,South,Retail,20,1243.91,9.8,$267
2024-12-06,1031,West,Partner,20,1229.22,3.9,$271
2024-12-07,1046,South,Online,23,1161.16,14.4,$253
2024-12-08,1075,East,Retail,25,1082.15,21.3,$285
2024-12-09,1046,East,Retail,24,1234.42,2.9,$233
2024-12-10,1056,North,Online,29,1233.21,23.3,$255
2024-12-11,1053,West,Retail,18,1084.73,18.1,$222
2024-12-12,1043,West,Partner,22,1187.51,23.2,$312
2024-12-13,1000,North,Online,25,1088.19,21.7,$258
2024-12-14,1060,South,Partner,18,1251.38,14.3,$258
2024-12-15,1043,North,Retail,26,1385.39,21.7,$289
2024-12-16,1035,East,Retail,24,1297.79,2.0,$362
2024-12-17,1049,North,Retail,20,1220.8,19.3,$261
2024-12-18,1046,South,Partner,20,1353.96,6.6,$294
2024-12-19,1085,East,Partner,21,1463.44,2.7,$240
2024-12-20,1044,East,Online,15,1387.17,13.7,$311
2024-12-21,1071,North,Retail,24,1428.91,14.1,$310
2024-12-22,1053,West,Retail,28,1421.73,3.2,$388
2024-12-23,1019,North,Retail,15,1349.28,13.2,$225
2024-12-24,1086,West,Partner,36,1290.17,21.2,$347
2024-12-25,1065,South,Retail,18,1427.45,12.3,$374
2024-12-26,1012,North,Retail,22,1380.35,20.8,$221
2024-12-27,1020,East,Online,17,1517.63,1.0,$230
2024-12-28,1039,West,Online,26,1631.21,8.0,$410
2024-12-29,1059,East,Partner,18,1412.23,4.4,$230
2024-12-30,1007,West,Online,32,1444.36,4.9,$264
2024-12-31,1084,North,Partner,22,1535.98,21.7,$287
2025-01-01,1051,North,Online,24,1545.67,7.0,$382
2025-01-02,1027,North,Online,19,1522.12,4.3,$375
2025-01-03,1048,South,Online,21,1425.51,22.2,$360
2025-01-04,1024,South,Online,29,1347.32,24.2,$272
2025-01-05,1032,South,Retail,23,1471.67,24.6,$306
2025-01-06,1050,South,Retail,27,1369.18,3.1,$363
2025-01-07,1055,North,Retail,18,1362.32,0.5,$285
2025-01-08,1083,North,Retail,27,1309.35,16.4,$261
2025-01-09,1075,South,Online,28,1361.73,23.9,$337
2025-01-10,1044,North,Retail,22,1395.98,11.9,$268
2025-01-11,1011,South,Retail,22,1246.83,16.2,$203
2025-01-12,1083,West,Online,14,1303.56,0.2,$281
2025-01-13,1014,North,Partner,17,1327.07,13.5,$248
2025-01-14,1030,East,Online,23,1438.28,0.7,$251
2025-01-15,1038,East,Online,27,1160.16,7.3,$195
2025-01-16,1081,North,Partner,18,1074.9,3.8,$228
2025-01-17,1046,South,Retail,21,1191.94,12.0,$213
2025-01-18,1045,West,Retail,29,1231.76,3.9,$306
2025-01-19,1052,South,Online,11,1314.62,0.5,$231
2025-01-20,1086,East,Retail,23,1381.21,18.9,$238
2025-01-21,1003,West,Online,25,1180.3,11.1,$290
2025-01-22,1050,South,Online,17,1272.56,20.1,$201
2025-01-23,1044,West,Retail,24,1182.98,15.5,$184
2025-01-24,1034,East,Retail,22,1185.04,12.0,$316
2025-01-25,1066,South,Retail,22,1301.43,19.7,$312
2025-01-26,1061,East,Online,25,1252.88,14.7,$335
2025-01-27,1026,South,Retail,16,1334.22,12.6,$272
2025-01-28,1045,East,Retail,26,1182.93,9.2,$220
2025-01-29,1001,North,Online,29,1269.33,20.8,$355
2025-01-30,1051,West,Retail,25,1416.67,19.4,$284
2025-01-31,1025,South,Partner,29,1392.1,10.3,$297
2025-02-01,1018,North,Partner,22,1487.35,5.8,$283
2025-02-02,1044,South,Partner,17,1505.76,3.6,$354
2025-02-03,1014,West,Retail,25,1325.9,13.0,$256
2025-02-04,1015,West,Retail,22,1520.25,17.8,$408
2025-02-05,1072,South,Retail,14,1621.1,6.8,$388
2025-02-06,1016,South,Partner,22,1485.23,19.4,$357
2025-02-07,1031,South,Retail,19,1558.79,24.2,$329
2025-02-08,1076,West,Online,16,1502.37,5.8,$233
2025-02-09,1032,North,Partner,21,1595.23,0.9,$399
2025-02-10,1076,West,Partner,33,1576.02,24.0,$290
2025-02-11,1035,West,Retail,19,1583.78,7.8,$413
2025-02-12,1039,North,Online,23,1482.32,14.1,$239
2025-02-13,1027,South,Online,22,1356.02,14.8,$285
2025-02-14,1022,East,Partner,29,1581.33,19.7,$267
2025-02-15,1025,West,Retail,24,1456.56,20.7,$240
2025-02-16,1019,West,Online,19,1252.1,9.9,$222
2025-02-17,1063,West,Online,16,1468.3,13.4,$286
2025-02-18,1079,North,Online,21,1404.26,19.8,$340
2025-02-19,1060,North,Retail,20,1448.62,16.2,$244
2025-02-20,1053,South,Partner,28,1477.35,22.7,$255
2025-02-21,1065,East,Retail,18,1399.46,3.1,$275
2025-02-22,1000,East,Partner,21,1476.38,9.7,$411
2025-02-23,1029,North,Retail,23,1335.64,2.8,$224
2025-02-24,1037,East,Partner,28,1507.72,8.3,$262
2025-02-25,1013,West,Retail,25,1247.22,19.3,$207
2025-02-26,1009,West,Online,21,1280.94,22.5,$341
2025-02-27,1081,West,Partner,29,1305.64,11.3,$247
2025-02-28,1067,West,Online,18,1354.87,20.3,$326
2025-03-01,1033,West,Retail,18,1236.44,17.3,$317
2025-03-02,1063,North,Online,26,1129.75,7.0,$280
2025-03-03,1062,West,Online,16,1212.52,6.7,$282
2025-03-04,1075,North,Retail,24,1306.05,20.8,$323
2025-03-05,1085,South,Partner,15,1431.33,3.7,$316
2025-03-06,1004,South,Retail,11,1389.1,5.7,$259
2025-03-07,1083,West,Retail,23,1298.16,0.0,$238
2025-03-08,1082,East,Retail,22,1446.18,13.9,$363
2025-03-09,1032,South,Retail,20,1222.63,6.5,$203
2025-03-10,1037,South,Retail,18,1331.63,4.8,$363
2025-03-11,1085,West,Retail,18,1265.05,19.1,$190
2025-03-12,1079,West,Partner,23,1231.32,21.9,$327
2025-03-13,1078,North,Retail,26,1254.16,17.5,$252
2025-03-14,1008,North,Partner,17,1411.9,18.4,$379
2025-03-15,1022,South,Online,21,1447.26,20.9,$355
2025-03-16,1040,North,Online,26,1332.24,6.8,$307
2025-03-17,1039,East,Online,20,1423.33,20.4,$313
2025-03-18,1066,North,Online,15,1354.83,10.7,$211
2025-03-19,1047,East,Retail,21,1532.7,10.3,$342
2025-03-20,1081,West,Partner,18,1587.77,17.9,$410
2025-03-21,1067,West,Online,23,1577.73,10.0,$419
2025-03-22,1081,North,Online,20,1662.73,14.2,$253
2025-03-23,1059,North,Online,21,1630.36,1.1,$444
2025-03-24,1073,South,Online,18,1693.81,10.1,$416
2025-03-25,1015,East,Retail,32,1635.73,18.8,$266
2025-03-26,1061,South,Retail,35,1585.41,7.9,$301
2025-03-27,1031,North,Retail,13,1449.04,22.4,$309
2025-03-28,1013,South,Online,25,1682.35,2.2,$277
2025-03-29,1079,North,Retail,21,1581.35,15.4,$268
2025-03-30,1047,West,Online,16,1537.32,13.6,$269
2025-03-31,1029,East,Retail,18,1498.92,21.9,$248
2025-04-01,1026,South,Partner,22,1497.71,16.7,$248
2025-04-02,1016,East,Partner,25,1566.45,12.7,$316
2025-04-03,1046,South,Retail,17,1618.06,8.8,$435
2025-04-04,1010,South,Retail,22,1559.95,13.6,$377
2025-04-05,1052,South,Online,10,1422.49,3.2,$234
2025-04-06,1075,South,Retail,30,1445.01,6.2,$317
2025-04-07,1014,West,Partner,15,1499.79,17.7,$260
2025-04-08,1065,East,Retail,18,1534.0,1.3,$347
2025-04-09,1006,West,Online,16,1516.01,3.4,$391
2025-04-10,1050,North,Retail,23,1407.59,14.7,$369
2025-04-11,1003,South,Online,26,1388.06,15.4,$381
2025-04-12,1070,South,Online,21,1492.37,13.3,$334
2025-04-13,1024,North,Online,19,1422.85,14.7,$285
2025-04-14,1041,South,Online,16,1416.9,17.6,$387
2025-04-15,1006,North,Online,20,1274.33,11.4,$275
2025-04-16,1060,North,Partner,17,1387.19,7.6,$256
